,Line 1 Street Address,coordinates
173,505 PARNASSUS AVE San Francisco,"(37.7630895, -122.4578144)"
176,2458 MISSION ST San Francisco,"(37.7576954, -122.4192096)"
177,3500 LAWTON ST San Francisco,"(37.7570627, -122.5005563)"
179,834 TARAVAL ST San Francisco,"(37.7433163, -122.4752239)"
182,2191 MARKET ST D San Francisco,"(37.76578, -122.4306896)"
185,1551 SLOAT BLVD San Francisco,"(37.7328215, -122.4911683)"
194,399 ARGUELLO BLVD San Francisco,"(37.7833286, -122.459232)"
198,3331 SACRAMENTO ST San Francisco,"(37.7876673, -122.4477012)"
202,640 14TH ST San Francisco,"(37.7679657, -122.4274763)"
203,391 SUTTER ST San Francisco,"(37.7893105, -122.406689)"
205,1418 POLK ST San Francisco,"(37.7899889, -122.4203072)"
209,3890 24TH ST San Francisco,"(37.7517365, -122.4294192)"
215,1580 VALENCIA ST San Francisco,"(37.7467537, -122.4205679)"
217,45 HARTFORD ST A San Francisco,"(37.761795, -122.433658)"
219,1200 GOUGH ST San Francisco,"(37.78456449999999, -122.4242949)"
227,1545 BROADWAY San Francisco,"(37.7956142, -122.4224506)"
229,801 PORTOLA DR San Francisco,"(37.7436511, -122.4541121)"
230,2001 UNION ST San Francisco,"(37.7972022, -122.4324905)"
231,900 NOE ST San Francisco,"(37.7544951, -122.4323702)"
236,2549 OCEAN AVE San Francisco,"(37.7313708, -122.4731115)"
237,3838 CALIFORNIA ST San Francisco,"(37.7861806, -122.4576078)"
239,900 HYDE ST 11TH FLR San Francisco,"(37.7896472, -122.4166422)"
248,521 PARNASSUS AVE San Francisco,"(37.7627531, -122.4594386)"
253,611 BROADWAY San Francisco,"(37.7975038, -122.4072654)"
261,52 DORE ST UNIT San Francisco,"(37.7736535, -122.4130108)"
262,929 CLAY ST San Francisco,"(37.793849, -122.4083142)"
263,2250 HAYES ST San Francisco,"(37.7732892, -122.4534523)"
266,890 JACKSON ST San Francisco,"(37.7957712, -122.409731)"
267,52 DORE ST San Francisco,"(37.7736535, -122.4130108)"
268,1700 CALIFORNIA ST San Francisco,"(37.7905449, -122.4230291)"
271,2100 WEBSTER ST San Francisco,"(37.7905249, -122.432128)"
272,55 STEVENSON ST San Francisco,"(37.789645, -122.399549)"
274,3801 SACRAMENTO ST San Francisco,"(37.78695159999999, -122.4556222)"
278,410 16TH AVE San Francisco,"(37.7802805, -122.4749273)"
280,2136 SUTTER ST San Francisco,"(37.7859014, -122.4356093)"
290,450 STANYAN ST San Francisco,"(37.7740462, -122.4536477)"
297,1375 SUTTER ST San Francisco,"(37.7872581, -122.4230053)"
299,2555 OCEAN AVE San Francisco,"(37.7314106, -122.4732036)"
302,1660 GEARY BLVD San Francisco,"(37.78497249999999, -122.4306804)"
308,2100 WEBSTE San Francisco,"(37.7905249, -122.432128)"
312,1604 UNION ST San Francisco,"(37.7985057, -122.425874)"
315,2460 MISSION ST San Francisco,"(37.7576534, -122.4194026)"
318,2320 SUTTER ST San Francisco,"(37.7856005, -122.438626)"
325,2333 BUCHANAN ST San Francisco,"(37.7907806, -122.4311512)"
339,3700 CALIFORNIA ST San Francisco,"(37.7865706, -122.4560109)"
341,1515 SCOTT ST San Francisco,"(37.7840354, -122.4381315)"
358,1661 PINE ST San Francisco,"(37.7891395, -122.4229189)"
359,2858 SAN BRUNO AVE San Francisco,"(37.7256093, -122.4030303)"
371,234 EDDY ST San Francisco,"(37.7842242, -122.4116998)"
372,2477 CHESTNUT ST San Francisco,"(37.7996349, -122.4442069)"
379,779 10TH AVE San Francisco,"(37.7737105, -122.4683288)"
383,368 HAYES ST San Francisco,"(37.77719829999999, -122.4225135)"
411,180 MONTGOMERY ST San Francisco,"(37.7907733, -122.401906)"
412,1580 VALENCIA ST NO San Francisco,"(37.7467537, -122.4205679)"
413,1443 7TH AVE San Francisco,"(37.7614357, -122.4642684)"
430,2100 WEBSTER San Francisco,"(37.7905249, -122.432128)"
431,383 SACRAMENTO ST San Francisco,"(37.7940044, -122.3997815)"
443,3905 SACRAMENTO ST San Francisco,"(37.7866633, -122.4572604)"
455,1831 OCEAN AVE San Francisco,"(37.72494289999999, -122.4619733)"
462,15 MASONIC AVE San Francisco,"(37.7820313, -122.4479513)"
463,3892 24TH ST San Francisco,"(37.75173849999999, -122.4293823)"
466,1732 FILLMORE ST San Francisco,"(37.785699, -122.4329567)"
471,2351 CLAY ST San Francisco,"(37.7906045, -122.4315453)"
472,295 FELL ST A San Francisco,"(37.7757265, -122.4226128)"
480,1777 UNION ST San Francisco,"(37.7978106, -122.4285298)"
483,115 SAN JOSE AVE San Francisco,"(37.7531166, -122.4213149)"
484,3575 GEARY BLVD San Francisco,"(37.7809928, -122.4579428)"
485,2443 FILLMORE ST San Francisco,"(37.7922101, -122.4348092)"
491,582 MARKET ST San Francisco,"(37.7894405, -122.4016405)"
492,1 DANIEL BURNHAM CT San Francisco,"(37.7867744, -122.4224906)"
493,5709 GEARY BLVD San Francisco,"(37.7800457, -122.4807415)"
495,1 SHRADER ST San Francisco,"(37.7746234, -122.4533113)"
496,845 JACKSON ST San Francisco,"(37.7954781, -122.4091831)"
497,45 FRANKLIN ST San Francisco,"(37.7749603, -122.4210617)"
