,Line 1 Street Address,coordinates
4009,4 EMBARCADERO CTR San Francisco,"(37.7950648, -122.3964505)"
4023,3329 SACRAMENTO ST San Francisco,"(37.787987, -122.4475267)"
4394,2358 PINE ST San Francisco,"(37.78800349999999, -122.4345791)"
4400,6918 GEARY BLVD San Francisco,"(37.7798892, -122.493681)"
4485,439 O'FARRELL ST San Francisco,"(37.785642, -122.411958)"
4619,781 VALLEJO ST San Francisco,"(37.7982637, -122.4100265)"
4635,9 WALTER ST San Francisco,"(37.7690092, -122.4322717)"
4650,2345 BALBOA ST San Francisco,"(37.7762148, -122.4841173)"
4742,927 VICENTE ST San Francisco,"(37.73900700000001, -122.477021)"
4764,840 IRVING ST San Francisco,"(37.7641941, -122.4672878)"
4810,431 JESSIE ST San Francisco,"(37.7821462, -122.4080821)"
4903,552 CASTRO ST San Francisco,"(37.7600714, -122.4351515)"
4922,2284 FULTON ST San Francisco,"(37.775086, -122.4542)"
4978,22 BATTERY ST San Francisco,"(37.7915637, -122.3993925)"
4982,1890 16TH AVE San Francisco,"(37.752763, -122.472871)"
5006,2661 OCEAN AVE San Francisco,"(37.7319442, -122.4742992)"
5013,4444 GEARY BLVD San Francisco,"(37.7811954, -122.467267)"
5021,1826 BUCHANAN ST A San Francisco,"(37.7869423, -122.4298429)"
5081,3106 FILLMORE ST San Francisco,"(37.7982673, -122.4355636)"
5115,340 BRANNAN ST San Francisco,"(37.7812656, -122.393235)"
5244,1906 POLK ST San Francisco,"(37.7943991, -122.421268)"
5312,18 CHENERY ST San Francisco,"(37.741591, -122.426061)"
5333,2007 IRVING ST San Francisco,"(37.763314, -122.479542)"
5390,2490 MISSION ST San Francisco,"(37.7572528, -122.419168)"
5531,3201 MISSION ST San Francisco,"(37.7454026, -122.4197413)"
5609,400 PARNASSUS ST San Francisco,"(37.7642921, -122.4574255)"
5811,1456 CALIFORNIA ST San Francisco,"(37.7911371, -122.4184242)"
5967,2200 OFARRELL ST San Francisco,"(37.7825465, -122.4413259)"
5972,1500 OWEN ST San Francisco,"(37.7688209, -122.3957342)"
5976,1490 MASON ST San Francisco,"(37.7970036, -122.4118815)"
5978,50 LECH WALESA ST San Francisco,"(37.7780029, -122.4186954)"
6014,375 LAGUNA HONDA BLVD San Francisco,"(37.7472794, -122.4592606)"
6028,760 HARRISON ST San Francisco,"(37.7817075, -122.3989163)"
6086,1990 41ST AVE San Francisco,"(37.7491277, -122.4997844)"
6111,1301 PIERCE ST San Francisco,"(37.7822377, -122.4361399)"
6158,71 STEVENSON ST San Francisco,"(37.7893453, -122.3996712)"
6381,82 LELAND AVE San Francisco,"(37.712015, -122.4051894)"
6395,1050 WISCONSIN ST San Francisco,"(37.7540008, -122.3991969)"
6411,2238 GEARY BLVD San Francisco,"(37.7835116, -122.4407037)"
6517,4131 GEARY BLVD San Francisco,"(37.7806661, -122.4637656)"
6754,220 GOLDEN GATE AVE San Francisco,"(37.7820039, -122.414373)"
6781,245 11TH ST San Francisco,"(37.7727273, -122.4147262)"
6851,1525 SILVER AVE San Francisco,"(37.7323988, -122.4064438)"
6872,2401 KEITH ST San Francisco,"(37.7257814, -122.3919479)"
6880,1450 NORIEGA ST San Francisco,"(37.7543266, -122.4794738)"
6949,3850 17TH ST San Francisco,"(37.7629584, -122.4318746)"
6988,5767 MISSION ST San Francisco,"(37.7095082, -122.449522)"
6994,3626 BALBOA ST San Francisco,"(37.7758962, -122.4979713)"
7157,850 CHURCH ST San Francisco,"(37.7571471, -122.428193)"
7199,2425 GEARY BLVD San Francisco,"(37.7823277, -122.4432896)"
7204,1975 4TH ST San Francisco,"(37.7648549, -122.3902697)"
7956,1400 NORIEGA ST San Francisco,"(37.7543681, -122.4788526)"
8003,729 FILBERT ST San Francisco,"(37.80087049999999, -122.4118684)"
8188,1033 CLEMENT ST San Francisco,"(37.7824844, -122.4703288)"
8503,450 6TH AVE San Francisco,"(37.7802689, -122.4639954)"
8542,1998 MARKET ST San Francisco,"(37.7698639, -122.4264072)"
8560,210 MISSION ST San Francisco,"(37.7350641, -122.4245801)"
8707,2485 46TH AVE San Francisco,"(37.740283, -122.504819)"
8916,518 A CASTRO ST San Francisco,"(37.7605128, -122.4351234)"
9571,1180 POST ST San Francisco,"(37.7869569, -122.4210298)"
9576,4141 GEARY BLVD San Francisco,"(37.7806546, -122.4638767)"
9653,155 5TH ST San Francisco,"(37.7823802, -122.4052253)"
10385,2150 POST ST San Francisco,"(37.7848366, -122.4375073)"
10672,3555 CESAR CHAVEZ ST San Francisco,"(37.7477035, -122.420695)"
11243,1701 OCEAN AVE San Francisco,"(37.72458200000001, -122.460492)"
11537,1351 24TH AVE San Francisco,"(37.7623783, -122.4826306)"
12636,2154 BRODERICK ST San Francisco,"(37.7904152, -122.4425137)"
12736,236 RIDGEWOOD AVE San Francisco,"(37.7321079, -122.453178)"
12752,2574 SAN BRUNO AVE San Francisco,"(37.7290214, -122.404483)"
12779,1842 NORIEGA ST San Francisco,"(37.7541842, -122.4837242)"
12914,340 TARAVAL ST San Francisco,"(37.7435067, -122.4698851)"
